,Training profit,Testing profit NYC,Testing profit LONGIL,Testing profit NORTH,Testing profit WEST
0,37712.05603151717,9471.755367794154,16164.912131084653,9556.466304858488,19757.17634063156
1,38129.37023348556,9493.161142993615,16396.72185424225,9610.396805517757,19821.61759307865
2,38442.928203895804,9592.490051147432,16623.96552678151,9671.497760113796,19741.29092776517
3,38895.37991481481,9447.102911173046,16298.439936412404,9623.562260849707,19805.594386453344
4,37232.25351451352,9127.442430497815,15602.866241969004,9450.856885045561,19139.94007115772
5,35836.34800322499,8983.510019959896,14899.256288945577,9454.316123145,18957.92735817061
6,38189.252354514145,9410.36643834194,15956.314654722015,9550.83184531473,19699.792213851095
7,38594.63923577516,9617.270307997396,16543.098198522923,9581.008472941336,19899.903182839924
8,38479.523438567645,9402.031743395688,16578.424472031158,9562.766200878683,19810.259102636042
9,36338.88713352439,8985.203198279374,14942.331145086922,9448.76500505585,19083.003343855496
