,Training profit,Testing profit NYC,Testing profit LONGIL,Testing profit NORTH,Testing profit WEST
0,47034.19561587616,9460.872844213487,16829.103942987316,9497.247934993069,19928.60643393591
1,48184.49667252666,9328.430367252455,17284.75933999118,9338.90515078,19953.634407843067
2,47805.48684153334,9325.29744722747,16271.716606764921,9330.647832947003,19713.83272424099
3,48348.96330267908,9452.006548844165,16642.407276619844,9465.745864381246,20116.7901680839
4,48201.67405562692,9304.596749315526,16613.414574808936,9421.471942425671,19848.705703113712
5,47119.12906552762,8958.364045440707,15210.359010157887,9309.658724332323,19648.17867827748
6,46572.381783602075,8670.494340188541,14424.48673058915,9091.145744629208,19084.013804899427
7,47950.508641142806,9238.489225248799,16571.753154743,9338.619775433566,19965.56465773389
8,47371.72615860523,9271.329101697527,16491.716735398288,9275.987266982656,19958.893001056098
9,48112.40894759069,9396.716953806583,17171.817035783566,9444.670583044634,19993.651780513555
