,Training profit,Testing profit
0,80547.45791754851,35168.00932512387
1,80657.345131261,35369.05419484756
2,79134.97404674979,35147.843371541945
3,77960.30539334004,34327.946357226836
4,79751.74394522968,35006.71204069664
5,72928.35313635254,31777.20687998866
6,78088.00139016754,34191.70329063155
7,79504.47963324723,35005.00644497983
8,78054.01168107413,33984.69510452045
9,78677.68006188794,34608.10474379357
