,Training profit,Testing profit NYC,Testing profit LONGIL,Testing profit NORTH,Testing profit WEST
0,51117.93642076405,9303.805563363985,15967.258978598718,9471.214432389559,19336.74192853048
1,52974.15705065404,9679.871249208445,16974.340998244727,9781.545791005286,19937.150653654357
2,52350.64885083774,9576.369308125471,16472.422210427685,9607.423627027165,19502.862903871668
3,52115.57212100023,9437.622140815274,16301.468909465018,9373.72311243176,19192.5364087207
4,49182.90801585516,8878.052715685102,14940.617538907783,9075.920684505963,18159.480710006712
5,46975.512668932126,8752.856299872972,14434.667343587804,9316.124054182414,18435.326347826904
6,51551.667075336976,9363.889236817626,16268.38289110712,9650.70962335391,19741.599349315522
7,51838.48522009006,9550.417126174725,16497.468443663383,9628.965528034976,19380.221716097672
8,51650.0527486426,9419.78614136432,16437.853010056057,9616.028218983578,19383.932537925168
9,50132.51205765516,9310.657923617406,15538.947313212815,9461.237750767403,19036.9670635225
